year	site	block	clone	leaf	position	metacol	metarow	population	circularity	indent_depth	area
2011	Sävar	3	36	4	317	7	26	Ydre	0.840866928	0.659031648	1145.499168
2011	Sävar	4	36	5.5	495	18	13	Ydre	0.831247618	0.675979879	1306.274576
2011	Sävar	1	37	5.5	5	1	5	Ydre	0.941753026	0.645592229	1495.9578529999999
2011	Sävar	2	37	5.5	140	2	19	Ydre	0.919710224	0.797756923	1709.030883
2011	Sävar	4	37	5	463	15	14	Ydre	0.901303973	0.787903215	1201.556423
2011	Sävar	2	38	5.5	105	1	16	Ydre	0.95148701	0.612338154	894.9243768
2011	Sävar	1	38	5.5	126	11	5	Ydre	0.977365995	0.526247468	624.7226131
2011	Sävar	3	38	5.5	361	11	30	Ydre	0.960314612	0.647366982	814.0655378
2011	Sävar	4	38	5.5	499	18	17	Ydre	0.950082371	0.672595739	863.4733201
2011	Sävar	1	39	5.5	20	2	10	Ydre	0.992519783	0.482514577	801.1668229
2011	Sävar	2	39	5.5	150	3	18	Ydre	0.990010924	0.432922132	689.0365575
2011	Sävar	3	39	5.5	359	11	28	Ydre	1.000035446	0.472916578	914.37487
2011	Sävar	4	39	5.5	436	18	9	Ydre	0.991359656	0.512841532	692.2383885
2011	Sävar	3	40	4.5	65	6	25	Ydre	0.811298975	0.850005135	1237.183096
2011	Sävar	1	40	5.5	190	7	5	Ydre	0.826122004	0.834181203	1042.038428
2011	Sävar	2	40	5.5	306	7	14	Ydre	0.791700559	0.832413719	927.7998701
2011	Sävar	4	40	5.5	441	13	14	Ydre	0.824627621	0.867175315	1004.785628
2011	Sävar	1	41	5.5	21	3	1	Brunsberg	1.017019802	0.725425913	1508.544578
2011	Sävar	2	41	5.5	156	4	13	Brunsberg	1.034687972	0.520456025	791.4919988
2011	Sävar	3	41	5	344	10	23	Brunsberg	1.046409194	0.508345843	736.2572622
2011	Sävar	4	41	5.5	386	14	3	Brunsberg	1.055956111	0.573888146	895.9580388
2011	Sävar	1	42	5.5	92	10	2	Brunsberg	1.007552844	0.642565516	766.0443753
2011	Sävar	2	42	5.5	220	10	11	Brunsberg	0.84895251	0.688460551	525.8188091
2011	Sävar	3	42	5	355	11	24	Brunsberg	0.973486806	0.630455508	1005.601843
2011	Sävar	2	43	5.5	72	4	11	Brunsberg	0.95179367	0.824012311	991.0139728
2011	Sävar	1	43	5.5	154	8	2	Brunsberg	0.94590511	0.764195297	1118.135489
2011	Sävar	3	43	5.5	335	9	24	Brunsberg	0.926849707	0.963456406	1325.394171
2011	Sävar	4	43	5.5	424	17	8	Brunsberg	0.943960228	0.814376921	1027.683762
2011	Sävar	3	44	5.5	81	3	22	Brunsberg	0.989144155	0.606186	926.8954159
2011	Sävar	1	44	5.5	208	9	1	Brunsberg	1.030479972	0.472717748	779.0407839
2011	Sävar	4	44	5.5	428	18	1	Brunsberg	1.033151301	0.602788175	1221.8451910000001
2011	Sävar	1	45	5.5	41	5	1	Brunsberg	0.959735407	0.71449893	1189.505437
2011	Sävar	2	45	5.5	188	7	12	Brunsberg	1.004815425	0.532038911	921.5411729
2011	Sävar	4	45	5.5	430	18	3	Brunsberg	0.96469987	0.649176445	1217.111775
2011	Sävar	1	46	5.5	1	1	1	Brunsberg	0.899256227	0.599483832	1846.665497
2011	Sävar	3	46	5.5	210	2	29	Brunsberg	0.772605505	0.757200722	1106.36813
2011	Sävar	2	46	5.5	270	9	12	Brunsberg	0.956880555	0.588554925	846.9158199
2011	Sävar	4	46	5.5	420	17	4	Brunsberg	0.799606972	0.715551767	862.2285138
2011	Sävar	3	47	5.5	272	2	31	Brunsberg	0.94446684	0.873173774	997.902952
2011	Sävar	4	47	5.5	396	15	2	Brunsberg	0.950785828	0.630061425	649.294145
2011	Sävar	1	48	5.5	101	11	1	Brunsberg	0.85657928	0.61987032	1165.980172
2011	Sävar	2	48	5.5	234	11	14	Brunsberg	0.8594657	0.728684077	1541.457888
2011	Sävar	3	48	5	333	9	22	Brunsberg	0.916111689	0.698610229	1711.952239
2011	Sävar	4	48	5.5	412	16	7	Brunsberg	0.898626951	0.691933172	1429.894876
2011	Sävar	3	49	5.5	114	1	24	Brunsberg	0.971131934	0.536523122	725.9427023
2011	Sävar	1	49	5.5	200	12	4	Brunsberg	0.943879871	0.637363486	728.3818925
2011	Sävar	2	49	5.5	255	8	13	Brunsberg	0.974600323	0.585775575	703.6181246
2011	Sävar	4	49	5.5	422	17	6	Brunsberg	0.882976328	0.752113371	813.3375625
2011	Sävar	1	50	5.5	12	2	2	Brunsberg	0.95539723	0.670495116	1189.294293
2011	Sävar	3	50	5	332	8	31	Brunsberg	1.031082748	0.462920919	867.5134258
2011	Sävar	4	50	5.5	384	14	1	Brunsberg	0.784517737	1.17796932	1518.509332
2011	Sävar	2	51	5.5	76	3	12	Uppsala	0.954072703	0.666731774	619.4660637
2011	Sävar	3	51	5.5	144	5	22	Uppsala	0.93397167	0.702143924	985.6786384
2011	Sävar	1	51	5.5	293	8	6	Uppsala	0.946292148	0.703301465	730.9124735
2011	Sävar	4	51	5.5	376	13	4	Uppsala	1.004852656	0.503667637	722.2492515
2011	Sävar	2	52	5.5	61	1	28	Uppsala	0.895021261	0.702795563	903.2503981
2011	Sävar	2	52	5.5	176	6	11	Uppsala	0.854659774	0.768165148	1344.239593
2011	Sävar	1	52	5.5	259	7	1	Uppsala	0.859755338	0.812916942	1217.820842
2011	Sävar	1	53	5.5	32	4	2	Uppsala	1.059284086	0.577141025	691.5419272
2011	Sävar	2	53	5.5	178	6	13	Uppsala	0.998413447	0.685089727	891.0229331
2011	Sävar	3	53	5.5	353	11	22	Uppsala	1.022026733	0.552528838	738.245801
2011	Sävar	4	53	5.5	378	13	6	Uppsala	1.000654344	0.642365234	852.6041122
2011	Sävar	2	54	5.5	112	2	13	Uppsala	0.928936296	0.714796191	980.4819659
2011	Sävar	1	54	5.5	134	12	2	Uppsala	0.90781979	0.718863161	945.7786556
2011	Sävar	4	54	5.5	390	14	7	Uppsala	0.891417317	0.610388713	540.507524
2011	Sävar	2	55	5.5	98	5	20	Uppsala	1.039090785	0.375997775	773.6172099
2011	Sävar	1	55	5.5	174	10	8	Uppsala	1.041125287	0.386474594	531.9640556
2011	Sävar	3	55	5.5	341	9	30	Uppsala	1.036386185	0.414205882	745.2009595
2011	Sävar	4	55	5.5	471	15	22	Uppsala	1.02853711	0.456010089	1044.739185
2011	Sävar	1	56	5.5	36	4	6	Uppsala	0.892635127	0.680625953	950.6444303
2011	Sävar	2	56	5.5	162	4	19	Uppsala	0.847596082	0.726478749	1032.609414
2011	Sävar	4	56	5.5	447	13	20	Uppsala	0.901462255	0.672595739	891.6437606
2011	Sävar	3	57	5.5	107	6	31	Uppsala	0.891024117	0.953354513	932.8736378
2011	Sävar	1	57	5.5	196	11	7	Uppsala	0.851980275	0.836394582	760.680678
2011	Sävar	2	57	5.5	312	7	20	Uppsala	0.862529849	0.83772293	715.8708007
2011	Sävar	4	57	5.5	459	14	21	Uppsala	0.852809852	0.928226869	994.8208745
2011	Sävar	1	58	5.5	80	8	10	Uppsala	0.964930582	0.604015704	674.7039517
2011	Sävar	2	58	5.5	250	12	19	Uppsala	0.931071135	0.607666734	679.9541982
2011	Sävar	3	58	5.5	326	8	25	Uppsala	0.891914889	0.73842193	822.205626
2011	Sävar	4	58	5.5	449	13	22	Uppsala	0.968531331	0.684796137	1006.837195
2011	Sävar	1	59	5.5	16	2	6	Uppsala	0.873674159	0.851333742	1305.533995
2011	Sävar	3	59	5.5	236	3	30	Uppsala	0.875670569	0.767532978	1305.118009
2011	Sävar	2	59	5.5	281	11	16	Uppsala	0.900710677	0.862880446	1215.977268
2011	Sävar	4	59	5.5	457	14	19	Uppsala	0.918259281	0.734558042	760.2709949
2011	Sävar	3	60	5	350	10	29	Uppsala	0.950979488	0.673648886	787.5937065
2011	Sävar	4	60	5.5	493	17	22	Uppsala	0.912826176	0.787903215	1000.62892
2011	Sävar	2	61	5.5	97	2	14	Alvdalen	0.856486976	0.843945123	906.6917361
2011	Sävar	2	61	5	135	6	17	Alvdalen	0.826899493	0.787903215	541.3615557
2011	Sävar	3	61	5.5	182	5	31	Alvdalen	0.825261626	0.849975757	865.647792
2011	Sävar	1	61	5.5	302	10	7	Alvdalen	0.803128538	0.768227561	486.1268192
2011	Sävar	4	61	5.5	382	13	10	Alvdalen	0.900676524	0.736198287	574.7192146
2011	Sävar	4	61	5	435	18	8	Alvdalen	0.866610149	0.889240801	833.654693
2011	Sävar	4	61	5.5	502	18	20	Alvdalen	0.819949301	0.766483997	649.9370324
2011	Sävar	3	62	5.5	95	5	27	Alvdalen	0.926586909	0.70092531	1039.936438
2011	Sävar	1	62	5.5	247	10	5	Alvdalen	0.85622542	0.667575932	873.2111723
2011	Sävar	4	62	5.5	456	14	18	Alvdalen	0.952718183	0.667220258	1009.282688
2011	Sävar	2	63	5.5	113	1	21	Alvdalen	0.91950516	0.654186149	619.0122609
2011	Sävar	1	63	5.5	263	12	3	Alvdalen	0.931983661	0.692876255	813.2115061
2011	Sävar	1	64	5.5	28	3	8	Alvdalen	0.820585189	0.758249703	1005.850804
2011	Sävar	2	64	5.5	151	3	19	Alvdalen	0.811175821	0.647366982	1058.495083
2011	Sävar	2	64	5.5	244	12	13	Alvdalen	0.821910441	0.580523197	461.9492133
2011	Sävar	3	64	5.5	325	8	24	Alvdalen	0.829821462	0.65078395	761.4338647
2011	Sävar	4	64	5.5	406	16	1	Alvdalen	0.809953257	0.706378432	772.8419634
2011	Sävar	4	64	5.5	466	15	17	Alvdalen	0.890738591	0.723227392	881.64119
2011	Sävar	4	64	5.5	500	18	18	Alvdalen	0.834824205	0.77940259	1261.631723
2011	Sävar	2	65	5.5	115	1	19	Alvdalen	0.837201643	0.762922533	943.0117189
2011	Sävar	3	65	5.5	129	6	24	Alvdalen	0.872639198	0.604015704	649.7290394
2011	Sävar	1	65	5.5	305	12	5	Alvdalen	0.889361892	0.67829496	855.6546756
2011	Sävar	1	66	5.5	37	4	7	Alvdalen	1.026116773	0.472916578	879.4856266
2011	Sävar	3	66	5.5	207	3	31	Alvdalen	1.008242161	0.464463333	586.0642851
2011	Sävar	4	66	5.5	478	16	18	Alvdalen	1.012743334	0.532566206	984.3581982
2011	Sävar	1	67	5.5	8	1	8	Alvdalen	0.952223862	0.741503315	1231.677585
2011	Sävar	3	67	5.5	189	3	29	Alvdalen	0.953411132	0.680625953	1086.07621
2011	Sävar	2	67	5.5	251	7	13	Alvdalen	0.988013892	0.579113476	813.766154
2011	Sävar	2	67	5.5	280	12	20	Alvdalen	0.945651403	0.678310872	1060.600224
2011	Sävar	4	67	5.5	440	13	13	Alvdalen	0.960230226	0.576600354	724.6002022
2011	Sävar	4	67	5.5	472	16	13	Alvdalen	0.957013583	0.662830971	1083.602355
2011	Sävar	1	68	5.5	50	5	10	Alvdalen	1.014513809	0.553675714	911.8159263
2011	Sävar	2	68	5.5	218	9	21	Alvdalen	0.931867197	0.682941034	1048.123798
2011	Sävar	2	68	5.5	231	11	20	Alvdalen	0.971177968	0.616198042	990.5790787
2011	Sävar	2	68	3.5	240	11	11	Alvdalen	0.954162924	0.47927498	339.5453561
2011	Sävar	4	68	5.5	388	14	5	Alvdalen	0.974209764	0.742552296	1202.092162
2011	Sävar	4	68	5	488	17	17	Alvdalen	0.986847851	0.640064921	1277.404522
2011	Sävar	1	69	5.5	59	6	9	Alvdalen	0.875959719	0.531741153	553.0028587
2011	Sävar	2	69	3	158	4	15	Alvdalen	0.893549429	0.620057929	941.5841309
2011	Sävar	2	69	5.5	198	8	14	Alvdalen	0.893739425	0.617339902	1156.812725
2011	Sävar	2	69	5.5	225	8	11	Alvdalen	0.909852923	0.492510235	598.1782994
2011	Sävar	3	69	5.5	334	9	23	Alvdalen	0.835814169	0.698726789	1130.40077
2011	Sävar	4	69	5.5	444	13	17	Alvdalen	0.963110714	0.508345843	717.6481951
2011	Sävar	4	69	5.5	468	15	19	Alvdalen	0.900945475	0.630061425	1175.094046
2011	Sävar	4	69	5.5	501	18	19	Alvdalen	0.885732393	0.630061425	975.8556982
2011	Sävar	2	70	5.5	88	6	16	Alvdalen	0.881369708	0.506786441	413.7200577
2011	Sävar	1	70	5.5	181	9	8	Alvdalen	0.923393698	0.6287882	820.7370696
2011	Sävar	2	70	5.5	230	10	21	Alvdalen	0.90323466	0.682378659	998.0290085
2011	Sävar	3	70	5.5	327	8	26	Alvdalen	0.929332943	0.647366982	1225.964082
2011	Sävar	4	70	5.5	408	16	3	Alvdalen	0.905302826	0.656856904	831.3762247
2011	Sävar	4	70	5.5	431	18	4	Alvdalen	0.916221141	0.659187897	924.7997293
2011	Sävar	4	70	5.5	484	17	13	Alvdalen	0.923185559	0.656856904	993.0655398
2011	Sävar	1	71	5.5	17	2	7	Delsbo	1.057299935	0.505227039	1029.486368
2011	Sävar	2	71	5.5	307	7	17	Delsbo	1.059951521	0.51128213	977.5984271
2011	Sävar	4	71	5.5	498	18	16	Delsbo	1.073855245	0.561374072	1448.431461
2011	Sävar	3	72	5.5	106	1	23	Delsbo	0.948521964	0.702795563	872.6848871
2011	Sävar	1	72	5.5	233	11	6	Delsbo	0.940637191	0.749667361	989.3909978
2011	Sävar	2	72	5	254	11	13	Delsbo	0.929703654	0.714512544	904.9584614
2011	Sävar	4	72	5.5	387	14	4	Delsbo	0.923697966	0.810445194	716.8036177
2011	Sävar	1	73	5	84	9	4	Delsbo	0.84187734	0.620057929	748.9763469
2011	Sävar	3	73	5.5	367	12	26	Delsbo	0.905454303	0.717458713	735.2897799
2011	Sävar	4	73	5.5	411	16	6	Delsbo	0.910056641	0.545559616	502.712682
2011	Sävar	2	74	5.5	117	5	19	Delsbo	1.052431702	0.573861098	885.4260316
2011	Sävar	3	74	5.5	173	1	29	Delsbo	1.026265203	0.569712121	1033.107337
2011	Sävar	4	74	5	437	18	10	Delsbo	1.02550889	0.449314541	550.2170136
2011	Sävar	1	75	5.5	31	4	1	Delsbo	0.944514365	0.667575932	1435.671408
2011	Sävar	2	75	5.5	121	1	11	Delsbo	0.902807444	0.661673431	1391.513872
2011	Sävar	2	76	5.5	70	2	18	Delsbo	0.905706715	0.917213963	1773.521306
2011	Sävar	2	76	5.5	139	5	21	Delsbo	0.824343404	0.806192192	1185.692233
2011	Sävar	3	76	5.5	175	2	26	Delsbo	0.866945333	0.789131514	1495.784525
2011	Sävar	1	76	5.5	213	7	10	Delsbo	0.871065491	0.751784474	937.7015956
2011	Sävar	4	76	5.5	450	14	16	Delsbo	0.860142166	0.77672834	1051.543076
2011	Sävar	4	76	5.5	454	14	12	Delsbo	0.854283059	0.654186149	861.8661018
2011	Sävar	4	76	5.5	487	17	16	Delsbo	0.892879801	0.757715604	1290.782251
2011	Sävar	1	77	5	46	5	6	Delsbo	0.847447426	0.942612515	1051.064062
2011	Sävar	2	77	5.5	183	6	18	Delsbo	0.806448025	0.927580717	1318.895967
2011	Sävar	3	77	5.5	258	1	27	Delsbo	0.886628055	0.799638296	1011.331104
2011	Sävar	4	77	5.5	494	18	12	Delsbo	0.846760353	0.983216995	1297.305667
2011	Sävar	3	78	5.5	90	2	30	Delsbo	0.779721907	0.826320015	1450.290792
2011	Sävar	1	78	5.5	223	9	10	Delsbo	0.785193186	0.870791537	1020.87672
2011	Sävar	2	78	5.5	271	10	14	Delsbo	0.836454502	0.756922922	641.7591273
2011	Sävar	4	78	5.5	433	18	6	Delsbo	0.829375231	0.810375984	800.4167877
2011	Sävar	3	79	5.5	64	2	28	Delsbo	0.959855262	0.66173704	853.5274749
2011	Sävar	1	79	5.5	73	7	4	Delsbo	0.992688534	0.549749489	873.4286195
2011	Sävar	1	79	5.5	205	8	3	Delsbo	0.995006947	0.502741392	649.139726
2011	Sävar	2	79	5.5	269	8	18	Delsbo	0.996373344	0.568302399	589.7703415
2011	Sävar	3	79	5.5	340	9	29	Delsbo	0.991486824	0.621564054	975.0741489
2011	Sävar	4	79	5.5	480	16	20	Delsbo	1.019229538	0.544149092	909.62254600000006
2011	Sävar	4	79	5.5	486	17	15	Delsbo	0.972790983	0.564153422	876.7218414
2011	Sävar	3	80	5.5	329	8	28	Delsbo	0.997813332	0.502108234	594.2075247
2011	Sävar	4	80	5	474	16	14	Delsbo	0.974842604	0.508345843	1446.937693
2011	Sävar	1	81	5.5	35	4	5	Dorotea	0.907391806	0.707283174	625.4537398
2011	Sävar	2	81	5.5	68	3	17	Dorotea	0.864248737	0.703301465	581.9706055
2011	Sävar	1	81	5.5	195	7	8	Dorotea	0.936207508	0.556455063	466.6006922
2011	Sävar	4	81	5.5	403	15	9	Dorotea	0.876800278	0.714228448	580.832947
2011	Sävar	1	82	5.5	110	11	10	Dorotea	0.764620515	0.961356774	1088.033235
2011	Sävar	3	82	5.5	331	8	30	Dorotea	0.799435787	0.82680291400000006	953.496455
2011	Sävar	4	82	5.5	379	13	7	Dorotea	0.841349157	0.725425913	723.5602374
2011	Sävar	1	83	5.5	4	1	4	Dorotea	0.953277718	0.673648886	1083.117037
2011	Sävar	3	83	5	197	4	28	Dorotea	0.951856332	0.73194224	1013.480364
2011	Sävar	2	83	1.5	289	7	21	Dorotea	0.999389176	0.59766719	820.89464
2011	Sävar	1	84	5.5	177	10	3	Dorotea	0.830959119	0.740454334	927.6107857
2011	Sävar	3	84	4	320	7	29	Dorotea	0.785542948	0.715736612	804.0629673
2011	Sävar	4	84	5.5	391	14	8	Dorotea	0.790013073	0.842446738	912.6605038
2011	Sävar	1	85	5.5	42	5	2	Dorotea	0.935520092	0.647366982	1163.276264
2011	Sävar	2	85	5.5	167	5	13	Dorotea	0.922820662	0.843798044	1092.309696
2011	Sävar	3	85	5.5	351	10	30	Dorotea	0.924743991	0.794833615	1081.594907
2011	Sävar	4	85	5.5	389	14	6	Dorotea	0.92927741	0.644895652	701.7209766
2011	Sävar	1	86	5.5	77	8	7	Dorotea	0.939401083	0.54175861300000006	572.1129998
2011	Sävar	2	86	5.5	229	10	20	Dorotea	0.921938965	0.697561688	1204.90637
2011	Sävar	4	86	5.5	405	15	11	Dorotea	0.925389434	0.59349535	836.0371578
2011	Sävar	2	87	5.5	102	3	11	Dorotea	0.981042215	0.635122261	1040.957495
2011	Sävar	1	87	5.5	143	11	2	Dorotea	0.957958514	0.546970139	789.8217523
2011	Sävar	3	87	5.5	343	10	22	Dorotea	1.016002633	0.588554925	902.3459438
2011	Sävar	4	87	5.5	399	15	5	Dorotea	1.018983348	0.514400934	924.6232504
2011	Sävar	1	88	5.5	10	1	10	Dorotea	0.851235584	0.85536314	1001.022846
2011	Sävar	2	88	2.5	217	9	19	Dorotea	0.854505123	0.654999109	806.6723335
2011	Sävar	3	88	5.5	371	12	30	Dorotea	0.834467623	0.900288633	1201.534363
2011	Sävar	4	88	5.5	476	16	16	Dorotea	0.849042497	0.799642035	795.9953616
2011	Sävar	1	89	5.5	33	4	3	Dorotea	1.024165069	0.515244499	923.9929687
2011	Sävar	2	89	5.5	169	5	15	Dorotea	0.984150116	0.568301597	1019.165505
2011	Sävar	3	89	5.5	296	5	25	Dorotea	0.923919917	0.630061425	1190.866845
2011	Sävar	4	89	5.5	375	13	3	Dorotea	1.011848973	0.445225338	554.247665
2011	Sävar	3	90	5.5	235	4	30	Dorotea	0.746017242	0.620057929	651.9350253
2011	Sävar	2	90	5.5	291	11	15	Dorotea	0.776210183	0.691868581	781.1522276
2011	Sävar	4	90	5.5	482	16	22	Dorotea	0.735931622	0.851333742	1277.344646
2011	Sävar	1	91	5.5	6	1	6	Umea	0.781504832	0.852277204	1283.401653
2011	Sävar	2	91	5.5	191	7	15	Umea	0.785492112	0.790575158	813.8386364
2011	Sävar	3	91	5.5	316	7	25	Umea	0.791859449	0.712018071	792.8534073
2011	Sävar	4	91	5.5	446	13	19	Umea	0.792013088	0.781903604	830.2480204
2011	Sävar	3	92	5.5	75	6	22	Umea	0.992318277	0.532038911	766.6147802
2011	Sävar	1	92	5.5	215	8	5	Umea	1.008806945	0.566932771	893.7016303
2011	Sävar	4	92	5.5	425	17	9	Umea	0.975241531	0.564153422	859.8145348
2011	Sävar	2	93	5.5	283	9	11	Umea	0.879446441	0.558553025	551.4208516
2011	Sävar	4	93	5.5	429	18	2	Umea	0.820309486	0.731625314	1049.983129
2011	Sävar	3	94	5.5	245	3	27	Umea	0.765464092	0.865770312	1004.741509
2011	Sävar	2	94	5.5	278	12	14	Umea	0.756031271	0.936476676	888.7885845
2011	Sävar	4	94	5.5	393	14	10	Umea	0.774104536	0.976099085	1143.857285
2011	Sävar	1	95	5.5	11	2	1	Umea	0.83660742	0.788883864	1468.890405
2011	Sävar	2	95	5.5	165	5	11	Umea	0.902752835	0.71449893	875.3982498
2011	Sävar	3	95	5.5	314	7	23	Umea	0.920668614	0.682941034	764.4623682
2011	Sävar	4	95	5.5	395	15	1	Umea	0.936352372	0.741073041	1037.780875
2011	Sävar	1	96	5.5	2	1	2	Umea	0.963235199	0.765435016	1336.814875
2011	Sävar	2	96	5.5	145	3	13	Umea	0.970166284	0.666418392	777.2318754
2011	Sävar	4	96	5.5	407	16	2	Umea	0.96709578	0.63247679	877.1535843
2011	Sävar	1	97	5.5	79	8	9	Umea	0.903629245	0.737761646	706.5174203
2011	Sävar	2	97	5.5	211	9	13	Umea	0.910474017	0.707441637	758.9631604
2011	Sävar	3	97	5.5	349	10	28	Umea	0.971061389	0.726320286	802.4399919
2011	Sävar	4	97	5.5	458	14	20	Umea	0.946619789	0.698602273	699.6000787
2011	Sävar	1	98	5.5	99	10	9	Umea	1.030951878	0.34593429	282.3914118
2011	Sävar	2	98	5.5	237	11	17	Umea	1.019484922	0.484425966	643.6342154
2011	Sävar	4	98	5.5	464	15	15	Umea	1.009537832	0.554172106	998.9618251
2011	Sävar	1	99	5.5	57	6	7	Umea	0.879265896	0.716711065	852.6671404
2011	Sävar	3	99	5.5	239	3	23	Umea	0.875088837	0.635063173	845.4283551
2011	Sävar	4	99	5.5	452	14	14	Umea	0.891341616	0.742552296	911.6110848
2011	Sävar	2	100	5.5	119	2	16	Umea	0.946709614	0.554172106	514.4327702
2011	Sävar	1	100	5	137	12	9	Umea	0.975390889	0.577969982	643.9840217
2011	Sävar	3	100	5.5	369	12	28	Umea	0.989311506	0.583514035	912.5565073
2011	Sävar	4	100	5.5	442	13	15	Umea	1.006290479	0.611438525	890.1216303
2011	Sävar	2	101	5.5	179	6	14	Arjeplog	0.768383897	0.898198515	977.7024237
2011	Sävar	3	101	5.5	362	11	31	Arjeplog	0.771264723	0.967343478	971.78722990000006
2011	Sävar	4	101	5	460	14	22	Arjeplog	0.818240053	0.740454334	1389.506425
2011	Sävar	3	102	5.5	159	2	24	Arjeplog	0.967469035	0.667132247	845.6552565
2011	Sävar	1	102	5.5	265	12	1	Arjeplog	0.973972622	0.534859958	565.3374715
2011	Sävar	2	103	5.5	86	2	20	Arjeplog	0.968318499	0.598184999	1068.3779
2011	Sävar	3	103	5	336	9	25	Arjeplog	0.798532451	0.817372987	866.0385666
2011	Sävar	2	104	5.5	127	1	17	Arjeplog	0.928157067	0.555268094	591.8912394
2011	Sävar	3	104	5.5	358	11	27	Arjeplog	1.003088187	0.517521708	749.7043223
2011	Sävar	3	105	5.5	108	5	29	Arjeplog	0.816454722	0.856898358	1164.196475
2011	Sävar	1	105	5.5	203	11	8	Arjeplog	0.866049151	0.936573091	1032.414027
2011	Sävar	4	105	5.5	462	15	13	Arjeplog	0.829459598	0.826064981	1025.918973
2011	Sävar	2	106	3.5	243	12	12	Arjeplog	0.955697997	0.698468935	726.5698326
2011	Sävar	3	106	5	342	9	31	Arjeplog	0.957677845	0.696514655	1185.805683
2011	Sävar	4	106	5.5	417	17	1	Arjeplog	0.975024794	0.730576333	1021.362037
2011	Sävar	1	107	5.5	30	3	10	Arjeplog	0.902218783	0.795882646	1202.451423
2011	Sävar	1	108	5.5	24	3	4	Arjeplog	0.864749171	0.874731248	1231.854064
2011	Sävar	3	108	5.5	363	12	22	Arjeplog	0.824287626	0.592414812	472.2574704
2011	Sävar	1	109	5.5	13	2	3	Arjeplog	0.875397259	0.641922314	763.8037239
2011	Sävar	2	109	3	157	4	14	Arjeplog	0.90791863799999994	0.696514655	868.6983554
2011	Sävar	4	109	3.5	401	15	7	Arjeplog	0.904030683	0.619539438	839.0845698
2011	Sävar	1	110	5.5	22	3	2	Arjeplog	0.828165135	0.73194224	1185.0588
2011	Sävar	2	110	3	161	4	18	Arjeplog	0.898443598	0.604618379	826.456876
2011	Sävar	3	110	5.5	365	12	24	Arjeplog	0.840667957	0.765435016	1576.539368
2011	Sävar	1	111	5.5	15	2	5	Lulea	1.005245114	0.503667637	648.3739337
2011	Sävar	2	111	5.5	125	1	15	Lulea	0.941169614	0.795764403	1066.222337
2011	Sävar	3	111	5.5	345	10	24	Lulea	0.976328052	0.576003339	452.5454103
2011	Sävar	4	111	3.5	423	17	7	Lulea	0.987967099	0.528920106	577.6279646
2011	Sävar	4	112	5.5	381	13	9	Lulea	0.904296725	0.829758017	1293.032357
2011	Sävar	2	113	5.5	82	4	20	Lulea	0.911194259	0.725886291	834.927862
2011	Sävar	3	113	5.5	163	1	25	Lulea	0.955568548	0.661502978	887.3925105
2011	Sävar	1	113	5.5	256	9	2	Lulea	0.86854533	0.791892931	925.8050286
2011	Sävar	4	113	5.5	490	17	19	Lulea	0.859690226	0.890450675	946.4183915
2011	Sävar	2	114	5.5	91	4	12	Lulea	0.837510824	0.85260551	780.9631431
2011	Sävar	3	114	5.5	155	4	26	Lulea	0.8008833	0.762922533	1022.427213
2011	Sävar	1	114	5.5	287	10	1	Lulea	0.824060251	0.850554719	902.7430213
2011	Sävar	4	114	5.5	385	14	2	Lulea	0.844470531	0.736198287	817.0278618
2011	Sävar	3	115	5.5	104	4	24	Lulea	0.910844557	0.565522248	777.9062768
2011	Sävar	4	115	5.5	419	17	3	Lulea	0.915602626	0.666418392	934.1152928
2011	Sävar	1	116	5.5	53	6	3	Lulea	0.869761075	0.740454334	596.0700071
2011	Sävar	3	116	5.5	187	6	28	Lulea	0.924027727	0.684559962	800.457756
2011	Sävar	4	116	5.5	397	15	3	Lulea	0.948644656	0.728114087	803.1238475
